バシロなど珍しい虫を見つけた場所

タイトル,メモ,URL,タグ,コメント
タディヤンダモル・ピーク,,https://www.google.com/maps/place/%E3%82%BF%E3%83%87%E3%82%A3%E3%83%A4%E3%83%B3%E3%83%80%E3%83%A2%E3%83%AB%E3%83%BB%E3%83%94%E3%83%BC%E3%82%AF/data=!4m2!3m1!1s0x3ba44e128296d90b:0x828262b7e9f78837,,
コダイカナル,ブルマイスター,https://www.google.com/maps/place/%E3%82%B3%E3%83%80%E3%82%A4%E3%82%AB%E3%83%8A%E3%83%AB/data=!4m2!3m1!1s0x3b0766637f0a0387:0x9ffae9373758c13c,,
ムンナル,ブルマイスター,https://www.google.com/maps/place/%E3%83%A0%E3%83%B3%E3%83%8A%E3%83%AB/data=!4m2!3m1!1s0x3b0799794d099a6d:0x63250e5553c7e0c,,
ナドゥガーニ,ブルマイ、ベルシコ,https://www.google.com/maps/place/%E3%83%8A%E3%83%89%E3%82%A5%E3%82%AC%E3%83%BC%E3%83%8B/data=!4m2!3m1!1s0x3ba61e7de4e4a86f:0xf43f080d4f13eca6,,
Indian Institute of Science Education and Research Thiruvananthapuram,ギラファ,https://www.google.com/maps/place/Indian+Institute+of+Science+Education+and+Research+Thiruvananthapuram/data=!4m2!3m1!1s0x3b05bec780ab70fd:0xc960a94d0cef086f,,
Pocheon Calipocheonia,,https://www.google.com/maps/place/Pocheon+Calipocheonia/data=!4m2!3m1!1s0x357d2b4099c6b9bf:0x6c5a15d2aa02e7f1,,
Snow Garden,,https://www.google.com/maps/place/Snow+Garden/data=!4m2!3m1!1s0x3562dfe6ef2b0369:0xd9b820376e411506,,
구곡폭포관광지,ディボウスキーミヤマ,https://www.google.com/maps/place/%EA%B5%AC%EA%B3%A1%ED%8F%AD%ED%8F%AC%EA%B4%80%EA%B4%91%EC%A7%80/data=!4m2!3m1!1s0x35632074c1b10523:0x8f2376975bcbcdf5,,
指定した地点,へるまんみやま,"https://www.google.com/maps/search/18.7447998,108.8444928",,
ジャングルホテル パイヌマヤ,,https://www.google.com/maps/place/%E3%82%B8%E3%83%A3%E3%83%B3%E3%82%B0%E3%83%AB%E3%83%9B%E3%83%86%E3%83%AB+%E3%83%91%E3%82%A4%E3%83%8C%E3%83%9E%E3%83%A4/data=!4m2!3m1!1s0x346078c2a078ea3b:0x120e1d842a9d4f66,,
"24°25'08.0""N 123°47'16.9""E",らいとら,"https://www.google.com/maps/search/24.4188889,123.7880278",,
"24°22'09.5""N 123°45'28.5""E",ライトラ,"https://www.google.com/maps/search/24.3693056,123.7579167",,
祖納ふるさとの森,ライトラ？,https://www.google.com/maps/place/%E7%A5%96%E7%B4%8D%E3%81%B5%E3%82%8B%E3%81%95%E3%81%A8%E3%81%AE%E6%A3%AE/data=!4m2!3m1!1s0x3460812047d97697:0xa42a09279731fb8a,,
仲間川展望台,ヤエヤマコクワ？,https://www.google.com/maps/place/%E4%BB%B2%E9%96%93%E5%B7%9D%E5%B1%95%E6%9C%9B%E5%8F%B0/data=!4m2!3m1!1s0x34607df64336811f:0xe870b5b00b72f754,,
指定した地点,ヤエヤマコクワ,"https://www.google.com/maps/search/24.3895497,123.8097978",,
指定した地点,,"https://www.google.com/maps/search/0.2020501,-78.7897607",,
EEBF RÍO ANOPE,,https://www.google.com/maps/place/EEBF+R%C3%8DO+ANOPE/data=!4m2!3m1!1s0x8e2a8f0017ba2f95:0xafdfe4f5097e60d6,,
ANOPE,,https://www.google.com/maps/place/ANOPE/data=!4m2!3m1!1s0x8e2a8fa805791427:0xa9676a7fc6374695,,
El Paraíso de las Bromelias,,https://www.google.com/maps/place/El+Para%C3%ADso+de+las+Bromelias/data=!4m2!3m1!1s0x8e2a8f3392733659:0x2a708610ed05ba14,,
,,"https://www.google.com/maps/search/0.1519376,-78.7678488",,
,,"https://www.google.com/maps/search/0.1381138,-78.7681686",,
Restaurante del Rio,途中,https://www.google.com/maps/place/Restaurante+del+Rio/data=!4m2!3m1!1s0x8e2a850006ec821b:0x92f93d227565d99c,,
"DMQ ""Gualea"" Central Park 公園",道の途中,https://www.google.com/maps/place/DMQ+%22Gualea%22+Central+Park+%E5%85%AC%E5%9C%92/data=!4m2!3m1!1s0x8e2a85802a4139fd:0xcd378e0de597637a,,
